x,y,z,team
-18.43,-1.60,20.98,aliens
9.30,-6.54,11.04,aliens
56.92,-7.71,-0.11,aliens
59.05,-7.81,0.10,aliens
47.00,-7.71,2.16,aliens
49.37,-7.57,-0.75,aliens
52.64,-7.81,1.32,aliens
54.59,-7.78,1.39,aliens
67.14,-5.88,3.71,aliens
51.89,-7.11,-14.09,aliens
54.62,-7.92,-16.64,aliens
57.39,-8.10,-30.78,marines
56.73,-6.56,-30.06,aliens
48.91,-2.36,90.61,aliens
46.52,-3.24,89.07,aliens
49.27,-2.82,88.79,aliens
47.86,-3.24,95.44,marines
54.14,-3.25,97.39,aliens
63.75,-4.46,97.04,aliens
43.21,-0.32,-89.87,aliens
29.45,0.93,-99.23,aliens
45.43,-7.81,-6.57,marines
47.98,-8.72,-19.52,aliens
36.49,-4.40,-72.53,aliens
50.06,-6.91,-13.01,aliens
47.23,-8.72,9.86,marines
39.56,-6.69,-36.01,aliens
19.74,-4.46,-70.65,marines
42.15,-1.10,-96.19,marines
26.53,-4.64,-43.38,aliens
28.77,-5.70,-40.91,marines
35.58,-6.29,-42.24,aliens
46.67,-7.25,-23.55,aliens
37.73,-6.69,-26.87,marines
42.17,-6.69,-22.13,marines
45.46,-6.06,-32.56,marines
56.46,-7.72,-22.16,aliens
45.50,-5.70,-41.65,marines
51.14,-8.82,-24.25,aliens
52.41,-7.82,-26.96,aliens
58.15,-8.82,-18.95,marines
17.13,-5.67,-67.39,aliens
30.56,-4.35,-70.39,marines
27.67,-5.78,-47.75,aliens
40.31,-5.71,-6.46,aliens
50.22,-6.57,-8.46,aliens
19.75,-3.71,-68.97,aliens
38.64,-1.31,-94.61,aliens
40.23,-2.05,-97.12,aliens
39.42,-0.91,-94.12,aliens
38.99,-1.92,-89.73,marines
37.40,-2.07,-86.63,aliens
51.46,0.19,-89.96,aliens
40.34,-1.80,-92.53,marines
40.12,-5.78,-39.21,aliens
48.82,-7.75,-5.06,marines
30.29,-4.53,-31.40,marines
35.86,-2.40,-42.46,aliens
30.06,-5.67,-44.28,aliens
29.46,-5.68,-43.91,marines
24.32,-4.51,-43.61,marines
25.20,-5.48,-49.84,aliens
56.38,-7.75,-5.49,marines
13.98,-4.07,45.75,aliens
13.97,-3.07,46.56,aliens
55.77,-6.53,2.90,aliens
8.34,-6.28,4.95,aliens
52.58,-7.28,1.00,aliens
47.96,-6.91,-20.33,aliens
38.52,-6.69,-31.31,marines
54.51,-8.10,-20.61,aliens
24.23,-3.90,-3.76,aliens
18.95,-6.49,6.53,aliens
40.03,-4.99,-26.16,aliens
36.39,-6.69,-41.57,marines
64.08,-6.14,-8.00,aliens
29.35,-4.35,-73.29,aliens
38.63,-2.07,-80.07,aliens
40.17,-0.89,-71.25,aliens
32.10,-2.02,-96.47,marines
41.19,0.00,-99.75,marines
37.66,-1.21,-83.00,aliens
40.04,-1.96,-95.93,aliens
37.98,-0.13,-95.57,aliens
33.62,-0.30,-96.82,aliens
45.98,-0.29,-85.71,aliens
38.53,-0.02,-96.92,aliens
31.62,-3.25,-81.70,aliens
35.42,-4.35,-75.50,marines
38.83,-1.95,-89.73,aliens
47.87,0.22,-87.97,aliens
53.59,-1.96,-95.88,aliens
42.37,0.95,-90.64,aliens
41.33,-1.16,-92.83,marines
40.28,0.38,-90.93,aliens
31.30,-4.35,-73.82,marines
34.34,-1.07,-93.60,aliens
33.73,-1.04,-96.50,aliens
35.92,-1.96,-87.04,marines
34.86,0.92,-105.10,marines
31.20,0.00,-102.55,aliens
35.69,-4.36,-78.84,marines
33.59,-1.37,-97.41,aliens
39.29,0.11,-95.66,aliens
41.78,0.45,-92.99,aliens
15.63,-4.15,34.34,aliens
37.92,0.02,-100.82,marines
34.41,-3.07,-70.56,aliens
32.68,-2.55,-73.63,aliens
-0.95,-1.76,52.20,aliens
45.95,-7.50,-23.34,aliens
10.82,-4.15,44.10,aliens
36.17,-4.40,-78.25,aliens
36.49,-4.40,-72.62,marines
37.85,-4.40,-74.03,aliens
10.12,-6.54,6.67,marines
30.11,-4.40,-73.53,marines
12.34,-3.54,47.52,aliens
-13.98,-2.68,-59.54,aliens
50.30,-7.71,-7.51,marines
32.52,-5.67,-44.65,marines
26.71,-5.78,-37.00,marines
27.94,-5.78,-42.59,aliens
17.04,-1.64,-70.15,aliens
12.83,-4.68,-59.32,marines
31.05,-5.67,-42.78,aliens
25.87,-5.78,-51.43,aliens
22.94,-4.56,-71.41,aliens
34.07,-4.76,-6.09,aliens
15.44,-4.23,-71.32,aliens
15.42,-3.82,-67.31,aliens
21.78,-4.31,-66.28,aliens
25.25,-1.64,-73.64,aliens
34.63,-4.40,-73.09,marines
29.79,-2.95,-70.54,aliens
22.75,-2.79,-73.73,aliens
27.68,-3.45,-71.71,marines
28.04,-4.41,-72.28,aliens
26.86,-3.83,-71.53,aliens
-13.85,-0.82,-48.06,aliens
25.23,-2.46,-71.32,aliens
21.84,-4.58,-73.47,aliens
20.32,-2.61,-70.21,aliens
14.19,-2.15,-73.32,aliens
25.50,-2.33,-73.47,aliens
8.10,-2.43,-35.60,aliens
32.96,-5.19,-43.86,aliens
26.30,-5.78,-49.35,marines
15.18,-5.50,-35.88,marines
24.91,-5.67,-52.18,marines
28.40,-5.78,-33.00,marines
-6.78,-3.85,-46.12,marines
-5.04,-3.03,-51.47,aliens
-10.02,-3.67,-52.99,marines
-1.25,-3.65,-56.89,marines
-6.06,-2.20,-43.97,aliens
-9.41,-1.82,-50.64,aliens
13.21,-4.17,-36.19,aliens
12.52,-3.85,-35.85,aliens
28.06,-5.40,-32.33,aliens
22.11,-2.96,-72.72,aliens
25.42,-4.39,-71.89,aliens
27.56,-4.46,-71.54,marines
31.43,-4.34,-73.53,aliens
33.33,-3.82,-73.89,aliens
34.59,-4.11,-71.23,marines
28.41,-4.35,-73.80,marines
37.86,-4.30,-71.10,marines
33.56,-3.44,-67.54,marines
18.14,-5.67,-35.27,aliens
-1.69,-3.85,-38.55,aliens
11.76,-3.15,-36.34,aliens
-11.16,1.39,4.80,aliens
28.65,-4.35,-71.51,aliens
16.00,-3.99,-73.75,aliens
14.53,-3.12,-72.14,aliens
46.14,-6.37,-22.71,aliens
40.11,2.35,-87.21,aliens
36.80,-1.96,-90.41,marines
42.96,-1.10,-93.96,marines
38.50,-1.92,-88.18,marines
39.77,-2.53,-66.60,aliens
34.72,-3.54,-66.96,marines
37.00,-1.92,-71.34,aliens
38.07,-2.78,-75.09,aliens
1.61,-3.85,-42.54,aliens
33.02,-2.02,-92.21,aliens
30.80,-2.02,-96.28,marines
19.99,-3.79,-31.11,aliens
20.78,-2.48,-28.35,aliens
16.11,-2.97,-68.46,aliens
25.92,-4.46,-72.32,aliens
26.58,-5.58,-47.82,aliens
27.85,-2.65,-74.37,aliens
34.48,-4.40,-71.68,aliens
33.37,-0.32,-95.42,aliens
41.75,0.28,-91.87,aliens
36.90,1.74,-104.15,aliens
40.42,1.43,-102.04,aliens
36.28,0.35,-102.31,aliens
39.01,1.67,-108.46,aliens
36.66,0.10,-101.19,marines
40.78,1.14,-101.28,aliens
57.71,-0.08,-98.48,aliens
24.02,-5.67,-51.87,marines
27.53,-5.78,-53.09,marines
0.16,-1.46,-42.64,aliens
20.85,-4.27,-28.15,marines
9.21,-3.39,-36.32,aliens
1.78,-1.50,-42.78,aliens
-7.40,-3.85,-40.15,aliens
-10.83,-2.43,-42.03,aliens
1.46,-3.85,-40.19,aliens
-5.01,-2.14,-37.51,aliens
-4.87,-3.35,-41.85,aliens
15.30,-4.64,-33.22,aliens
18.68,-5.67,-32.65,aliens
20.35,-2.47,-28.25,aliens
27.71,-0.82,-72.68,aliens
14.92,-5.67,-63.04,aliens
25.84,-5.78,-42.73,aliens
15.47,-4.46,-74.46,marines
28.17,-5.67,-29.78,marines
8.47,-3.90,-36.65,aliens
-6.15,-3.85,-46.07,marines
-16.09,-0.28,-50.17,aliens
19.60,-5.67,-30.86,aliens
18.10,-5.67,-33.34,aliens
25.43,-2.75,-34.08,aliens
15.17,-5.46,-35.49,aliens
19.99,-5.67,-56.60,aliens
25.39,-3.02,-70.60,aliens
37.81,-0.89,-93.06,aliens
32.78,0.42,-96.22,aliens
35.17,-1.92,-93.96,aliens
34.49,0.00,-100.13,marines
41.15,0.39,-93.31,aliens
41.28,0.91,-92.91,aliens
-34.97,0.64,-3.60,aliens
-32.33,-0.50,-4.76,aliens
-50.78,0.56,1.56,aliens
-42.38,2.00,2.35,aliens
43.66,-0.29,-86.92,aliens
28.40,-4.29,-41.07,aliens
27.60,-4.08,-57.00,aliens
24.64,-5.04,-48.60,aliens
41.07,0.03,-92.13,marines
42.50,-0.42,-94.52,aliens
43.37,-0.69,-90.76,aliens
40.95,1.36,-88.92,aliens
32.21,-4.35,-74.26,marines
21.62,-4.46,-70.88,marines
35.67,-3.44,-68.90,marines
14.45,-4.46,-73.89,marines
20.98,-5.67,-58.06,marines
-18.39,-1.59,-17.37,marines
-17.26,-0.78,-13.46,aliens
-17.96,-1.39,-16.02,marines
-19.43,0.64,-12.84,aliens
-21.88,-1.61,-27.48,aliens
-3.66,-3.46,-46.28,aliens
-2.86,-3.36,-47.90,aliens
-4.89,-3.59,-44.69,aliens
-6.16,-3.26,-47.36,aliens
-3.95,-3.61,-46.45,aliens
-4.53,-3.39,-44.03,aliens
-14.61,-1.01,-48.89,aliens
-1.07,-3.85,-38.81,aliens
-3.72,-3.85,-38.24,aliens
-9.28,-0.69,-35.24,aliens
-4.00,-2.21,-37.10,aliens
-4.31,-3.43,-37.42,marines
-9.96,-3.34,-36.67,marines
-3.71,-3.85,-41.63,aliens
-3.90,-2.09,-46.53,aliens
-2.96,-3.85,-39.67,marines
-5.53,-3.85,-44.04,marines
-6.79,-1.60,-46.84,aliens
-3.93,-3.35,-43.42,aliens
-4.39,-3.85,-43.42,aliens
-4.29,-3.56,-45.20,marines
-4.14,-2.75,-45.54,aliens
1.37,-1.96,-36.78,aliens
-10.55,-1.82,-36.17,aliens
-10.68,-2.37,-33.93,marines
-5.85,-3.44,-55.34,marines
-13.40,-1.59,-49.27,aliens
-3.50,-3.59,-48.43,aliens
-3.50,-2.71,-45.12,marines
-5.22,-2.27,-45.50,aliens
12.03,-3.85,-36.64,aliens
-5.60,-2.85,-43.29,marines
-4.28,-2.27,-39.20,aliens
20.07,-5.67,-67.08,marines
30.21,-5.67,-43.74,aliens
29.32,-3.35,-38.34,aliens
6.84,-3.85,-38.46,marines
25.57,-4.46,-72.96,marines
18.60,-4.56,-71.17,marines
26.64,-5.78,-35.56,marines
8.32,-3.85,-37.86,marines
-20.87,-1.61,-50.81,marines
-17.37,-1.08,-19.36,aliens
-11.89,-0.75,-10.85,aliens
-21.88,-1.61,-27.49,aliens
26.10,-5.78,-43.37,aliens
26.47,-5.78,-49.53,aliens
36.06,-3.64,-74.46,aliens
37.04,0.56,-70.87,aliens
37.50,-1.02,-88.38,aliens
43.92,0.13,-93.33,aliens
-3.75,-3.85,-41.77,aliens
39.04,-2.18,-77.84,aliens
-6.21,-3.85,-49.18,marines
40.21,-2.83,-63.21,marines
-31.95,0.22,4.98,aliens
12.36,-3.85,-36.20,marines
3.25,-3.85,-39.31,marines
24.35,-3.44,-73.13,aliens
