coordinates,map,team
"-18.43 -1.60 20.98",ns2_biodome,aliens
"9.30 -6.54 11.04",ns2_biodome,aliens
"56.92 -7.71 -0.11",ns2_biodome,aliens
"59.05 -7.81 0.10",ns2_biodome,aliens
"47.00 -7.71 2.16",ns2_biodome,aliens
"49.37 -7.57 -0.75",ns2_biodome,aliens
"52.64 -7.81 1.32",ns2_biodome,aliens
"54.59 -7.78 1.39",ns2_biodome,aliens
"67.14 -5.88 3.71",ns2_biodome,aliens
"51.89 -7.11 -14.09",ns2_biodome,aliens
"54.62 -7.92 -16.64",ns2_biodome,aliens
"57.39 -8.10 -30.78",ns2_biodome,marines
"56.73 -6.56 -30.06",ns2_biodome,aliens
"48.91 -2.36 90.61",ns2_biodome,aliens
"46.52 -3.24 89.07",ns2_biodome,aliens
"49.27 -2.82 88.79",ns2_biodome,aliens
"47.86 -3.24 95.44",ns2_biodome,marines
"54.14 -3.25 97.39",ns2_biodome,aliens
"63.75 -4.46 97.04",ns2_biodome,aliens
"43.21 -0.32 -89.87",ns2_biodome,aliens
"29.45 0.93 -99.23",ns2_biodome,aliens
"45.43 -7.81 -6.57",ns2_biodome,marines
"47.98 -8.72 -19.52",ns2_biodome,aliens
"36.49 -4.40 -72.53",ns2_biodome,aliens
"50.06 -6.91 -13.01",ns2_biodome,aliens
"47.23 -8.72 9.86",ns2_biodome,marines
"39.56 -6.69 -36.01",ns2_biodome,aliens
"19.74 -4.46 -70.65",ns2_biodome,marines
"42.15 -1.10 -96.19",ns2_biodome,marines
"26.53 -4.64 -43.38",ns2_biodome,aliens
"28.77 -5.70 -40.91",ns2_biodome,marines
"35.58 -6.29 -42.24",ns2_biodome,aliens
"46.67 -7.25 -23.55",ns2_biodome,aliens
"37.73 -6.69 -26.87",ns2_biodome,marines
"42.17 -6.69 -22.13",ns2_biodome,marines
"45.46 -6.06 -32.56",ns2_biodome,marines
"56.46 -7.72 -22.16",ns2_biodome,aliens
"45.50 -5.70 -41.65",ns2_biodome,marines
"51.14 -8.82 -24.25",ns2_biodome,aliens
"52.41 -7.82 -26.96",ns2_biodome,aliens
"58.15 -8.82 -18.95",ns2_biodome,marines
"17.13 -5.67 -67.39",ns2_biodome,aliens
"30.56 -4.35 -70.39",ns2_biodome,marines
"27.67 -5.78 -47.75",ns2_biodome,aliens
"40.31 -5.71 -6.46",ns2_biodome,aliens
"50.22 -6.57 -8.46",ns2_biodome,aliens
"19.75 -3.71 -68.97",ns2_biodome,aliens
"38.64 -1.31 -94.61",ns2_biodome,aliens
"40.23 -2.05 -97.12",ns2_biodome,aliens
"39.42 -0.91 -94.12",ns2_biodome,aliens
"38.99 -1.92 -89.73",ns2_biodome,marines
"37.40 -2.07 -86.63",ns2_biodome,aliens
"51.46 0.19 -89.96",ns2_biodome,aliens
"40.34 -1.80 -92.53",ns2_biodome,marines
"40.12 -5.78 -39.21",ns2_biodome,aliens
"48.82 -7.75 -5.06",ns2_biodome,marines
"30.29 -4.53 -31.40",ns2_biodome,marines
"35.86 -2.40 -42.46",ns2_biodome,aliens
"30.06 -5.67 -44.28",ns2_biodome,aliens
"29.46 -5.68 -43.91",ns2_biodome,marines
"24.32 -4.51 -43.61",ns2_biodome,marines
"25.20 -5.48 -49.84",ns2_biodome,aliens
"56.38 -7.75 -5.49",ns2_biodome,marines
"13.98 -4.07 45.75",ns2_biodome,aliens
"13.97 -3.07 46.56",ns2_biodome,aliens
"55.77 -6.53 2.90",ns2_biodome,aliens
"8.34 -6.28 4.95",ns2_biodome,aliens
"52.58 -7.28 1.00",ns2_biodome,aliens
"47.96 -6.91 -20.33",ns2_biodome,aliens
"38.52 -6.69 -31.31",ns2_biodome,marines
"54.51 -8.10 -20.61",ns2_biodome,aliens
"24.23 -3.90 -3.76",ns2_biodome,aliens
"18.95 -6.49 6.53",ns2_biodome,aliens
"40.03 -4.99 -26.16",ns2_biodome,aliens
"36.39 -6.69 -41.57",ns2_biodome,marines
"64.08 -6.14 -8.00",ns2_biodome,aliens
"29.35 -4.35 -73.29",ns2_biodome,aliens
"38.63 -2.07 -80.07",ns2_biodome,aliens
"40.17 -0.89 -71.25",ns2_biodome,aliens
"32.10 -2.02 -96.47",ns2_biodome,marines
"41.19 0.00 -99.75",ns2_biodome,marines
"37.66 -1.21 -83.00",ns2_biodome,aliens
"40.04 -1.96 -95.93",ns2_biodome,aliens
"37.98 -0.13 -95.57",ns2_biodome,aliens
"33.62 -0.30 -96.82",ns2_biodome,aliens
"45.98 -0.29 -85.71",ns2_biodome,aliens
"38.53 -0.02 -96.92",ns2_biodome,aliens
"31.62 -3.25 -81.70",ns2_biodome,aliens
"35.42 -4.35 -75.50",ns2_biodome,marines
"38.83 -1.95 -89.73",ns2_biodome,aliens
"47.87 0.22 -87.97",ns2_biodome,aliens
"53.59 -1.96 -95.88",ns2_biodome,aliens
"42.37 0.95 -90.64",ns2_biodome,aliens
"41.33 -1.16 -92.83",ns2_biodome,marines
"40.28 0.38 -90.93",ns2_biodome,aliens
"31.30 -4.35 -73.82",ns2_biodome,marines
"34.34 -1.07 -93.60",ns2_biodome,aliens
"33.73 -1.04 -96.50",ns2_biodome,aliens
"35.92 -1.96 -87.04",ns2_biodome,marines
"34.86 0.92 -105.10",ns2_biodome,marines
"31.20 0.00 -102.55",ns2_biodome,aliens
"35.69 -4.36 -78.84",ns2_biodome,marines
"33.59 -1.37 -97.41",ns2_biodome,aliens
"39.29 0.11 -95.66",ns2_biodome,aliens
"41.78 0.45 -92.99",ns2_biodome,aliens
"15.63 -4.15 34.34",ns2_biodome,aliens
"37.92 0.02 -100.82",ns2_biodome,marines
"34.41 -3.07 -70.56",ns2_biodome,aliens
"32.68 -2.55 -73.63",ns2_biodome,aliens
"-0.95 -1.76 52.20",ns2_biodome,aliens
"45.95 -7.50 -23.34",ns2_biodome,aliens
"10.82 -4.15 44.10",ns2_biodome,aliens
"36.17 -4.40 -78.25",ns2_biodome,aliens
"36.49 -4.40 -72.62",ns2_biodome,marines
"37.85 -4.40 -74.03",ns2_biodome,aliens
"10.12 -6.54 6.67",ns2_biodome,marines
"30.11 -4.40 -73.53",ns2_biodome,marines
"12.34 -3.54 47.52",ns2_biodome,aliens
"-13.98 -2.68 -59.54",ns2_biodome,aliens
"50.30 -7.71 -7.51",ns2_biodome,marines
"32.52 -5.67 -44.65",ns2_biodome,marines
"26.71 -5.78 -37.00",ns2_biodome,marines
"27.94 -5.78 -42.59",ns2_biodome,aliens
"17.04 -1.64 -70.15",ns2_biodome,aliens
"12.83 -4.68 -59.32",ns2_biodome,marines
"31.05 -5.67 -42.78",ns2_biodome,aliens
"25.87 -5.78 -51.43",ns2_biodome,aliens
"22.94 -4.56 -71.41",ns2_biodome,aliens
"34.07 -4.76 -6.09",ns2_biodome,aliens
"15.44 -4.23 -71.32",ns2_biodome,aliens
"15.42 -3.82 -67.31",ns2_biodome,aliens
"21.78 -4.31 -66.28",ns2_biodome,aliens
"25.25 -1.64 -73.64",ns2_biodome,aliens
"34.63 -4.40 -73.09",ns2_biodome,marines
"29.79 -2.95 -70.54",ns2_biodome,aliens
"22.75 -2.79 -73.73",ns2_biodome,aliens
"27.68 -3.45 -71.71",ns2_biodome,marines
"28.04 -4.41 -72.28",ns2_biodome,aliens
"26.86 -3.83 -71.53",ns2_biodome,aliens
"-13.85 -0.82 -48.06",ns2_biodome,aliens
"25.23 -2.46 -71.32",ns2_biodome,aliens
"21.84 -4.58 -73.47",ns2_biodome,aliens
"20.32 -2.61 -70.21",ns2_biodome,aliens
