x,y,z,map
-36.92,-1.92,-13.38,ns2_tram
-30.83,-0.61,-15.27,ns2_tram
-34.38,-1.86,-12.37,ns2_tram
-31.16,-3.21,77.75,ns2_tram
-40.73,-2.25,-2.18,ns2_tram
-57.89,0.24,14.51,ns2_tram
-37.67,0.23,89.21,ns2_tram
-83.07,-2.22,29.58,ns2_tram
-18.21,-0.26,93.19,ns2_tram
-81.51,2.24,26.14,ns2_tram
-75.34,-0.39,2.37,ns2_tram
-26.33,-1.18,79.20,ns2_tram
-65.86,-0.37,2.22,ns2_tram
-34.17,-2.68,73.99,ns2_tram
-30.04,-2.22,69.15,ns2_tram
-81.32,-0.39,13.73,ns2_tram
-74.31,0.18,4.14,ns2_tram
-78.30,0.50,1.36,ns2_tram
-30.46,-2.21,69.25,ns2_tram
25.56,0.21,-9.00,ns2_tram
-25.32,-3.03,-4.23,ns2_tram
-19.98,-2.72,-0.67,ns2_tram
-58.46,0.87,12.93,ns2_tram
-10.99,-1.86,0.12,ns2_tram
-78.61,-0.37,-3.93,ns2_tram
-4.68,-2.42,2.70,ns2_tram
-86.09,0.51,9.35,ns2_tram
-78.77,-0.39,3.49,ns2_tram
-73.73,0.10,9.66,ns2_tram
-31.07,-2.22,68.04,ns2_tram
-84.55,-2.21,28.96,ns2_tram
-42.79,-2.44,-5.59,ns2_tram
-56.03,-3.44,48.65,ns2_tram
-71.59,-0.50,48.86,ns2_tram
-81.76,-1.49,50.28,ns2_tram
-26.71,-1.67,66.36,ns2_tram
-30.25,-1.14,65.33,ns2_tram
-80.69,-2.30,29.05,ns2_tram
-79.26,-1.51,59.06,ns2_tram
2.64,1.80,76.94,ns2_tram
-79.47,-1.51,40.06,ns2_tram
-75.42,-1.51,39.30,ns2_tram
-76.05,-1.46,37.78,ns2_tram
-75.62,-1.42,32.78,ns2_tram
-76.68,-1.47,32.84,ns2_tram
-25.67,5.80,60.79,ns2_tram
-31.57,-3.23,73.21,ns2_tram
-32.14,-2.91,72.49,ns2_tram
-33.27,-0.91,66.73,ns2_tram
-26.20,-1.49,79.14,ns2_tram
-27.42,-2.78,78.11,ns2_tram
-17.51,-1.27,76.26,ns2_tram
-20.49,-1.61,75.38,ns2_tram
-17.22,-1.51,74.75,ns2_tram
-17.44,-1.55,76.00,ns2_tram
-33.59,-2.77,72.17,ns2_tram
-32.19,-2.22,69.53,ns2_tram
-22.47,-1.49,83.67,ns2_tram
-31.16,-3.24,75.92,ns2_tram
-29.37,-2.12,67.67,ns2_tram
-30.23,-1.26,67.13,ns2_tram
-16.79,-1.51,66.73,ns2_tram
-6.50,1.41,65.22,ns2_tram
-64.96,-0.70,8.56,ns2_tram
-64.65,-0.27,7.50,ns2_tram
-25.75,-1.40,59.86,ns2_tram
-30.85,-0.39,62.50,ns2_tram
-26.83,-2.36,77.62,ns2_tram
-28.01,-2.22,66.45,ns2_tram
-28.71,0.37,81.31,ns2_tram
-28.47,0.30,80.35,ns2_tram
-30.45,0.21,85.04,ns2_tram
-19.94,6.12,92.11,ns2_tram
-37.82,0.21,86.38,ns2_tram
-38.22,0.00,93.85,ns2_tram
-24.08,-1.51,82.67,ns2_tram
-19.50,-1.61,77.05,ns2_tram
-30.43,-3.20,75.41,ns2_tram
-30.53,-2.22,68.39,ns2_tram
-67.94,-3.54,61.29,ns2_tram
-52.67,-3.61,52.92,ns2_tram
1.40,0.67,62.40,ns2_tram
-39.18,-1.92,-15.84,ns2_tram
-27.03,-1.95,77.94,ns2_tram
-24.34,-1.51,81.59,ns2_tram
-32.18,-1.98,70.99,ns2_tram
-36.73,0.20,84.90,ns2_tram
-63.57,-3.44,65.89,ns2_tram
-31.14,0.21,81.80,ns2_tram
-34.08,0.21,82.67,ns2_tram
-24.84,-0.23,77.46,ns2_tram
-33.02,-2.22,69.08,ns2_tram
-33.66,-2.22,70.45,ns2_tram
29.15,0.42,-6.57,ns2_tram
27.82,0.18,-9.58,ns2_tram
-32.10,-2.22,70.42,ns2_tram
-26.57,-1.88,76.75,ns2_tram
-23.58,-1.51,82.10,ns2_tram
-20.28,-1.61,76.48,ns2_tram
-14.31,-0.02,86.53,ns2_tram
-32.94,-1.79,63.99,ns2_tram
-26.18,-1.51,67.57,ns2_tram
30.16,0.21,0.61,ns2_tram
-24.47,-1.04,75.34,ns2_tram
41.18,0.58,27.23,ns2_tram
40.07,0.21,28.10,ns2_tram
-31.51,-2.71,75.04,ns2_tram
-32.69,-2.22,70.73,ns2_tram
-23.19,-0.65,64.29,ns2_tram
-9.24,3.28,70.74,ns2_tram
-13.02,-1.41,52.07,ns2_tram
-10.42,2.48,69.01,ns2_tram
-20.33,-1.43,61.05,ns2_tram
-21.08,-0.73,59.40,ns2_tram
43.42,1.12,14.14,ns2_tram
42.88,2.53,13.64,ns2_tram
-30.85,-1.45,63.96,ns2_tram
4.96,0.60,-8.70,ns2_tram
-55.81,-3.44,60.43,ns2_tram
-27.07,-0.12,66.08,ns2_tram
-28.11,-3.21,76.99,ns2_tram
-31.56,-2.22,69.57,ns2_tram
-28.00,-3.54,73.10,ns2_tram
-33.62,-3.24,73.57,ns2_tram
-32.44,-2.22,68.90,ns2_tram
-29.92,-2.21,68.85,ns2_tram
-8.56,0.71,65.48,ns2_tram
-11.82,-2.58,33.06,ns2_tram
-30.98,-2.23,70.92,ns2_tram
-27.57,-2.10,65.35,ns2_tram
-22.10,-1.51,67.24,ns2_tram
-21.13,-1.51,64.34,ns2_tram
-1.67,0.71,63.50,ns2_tram
-14.96,2.72,66.69,ns2_tram
49.78,0.21,32.48,ns2_tram
-20.98,-1.03,61.79,ns2_tram
-15.93,-1.51,65.70,ns2_tram
3.67,0.78,81.67,ns2_tram
-16.09,-0.99,-15.49,ns2_tram
-12.60,1.19,77.94,ns2_tram
-33.63,-3.17,73.00,ns2_tram
-29.41,-2.12,68.79,ns2_tram
-2.93,0.93,62.99,ns2_tram
-65.01,-2.64,66.91,ns2_tram
0.08,-3.22,-5.28,ns2_tram
-18.58,-0.54,66.66,ns2_tram
-1.89,2.13,62.29,ns2_tram
-10.03,0.68,64.12,ns2_tram
-23.42,-0.69,67.30,ns2_tram
-22.50,-0.32,60.82,ns2_tram
-27.07,-1.77,67.96,ns2_tram
-25.88,-1.51,67.22,ns2_tram
-21.64,-1.51,66.62,ns2_tram
-22.82,-1.18,65.15,ns2_tram
-32.06,-2.22,68.45,ns2_tram
-25.46,-1.42,64.60,ns2_tram
-30.17,0.21,87.33,ns2_tram
-0.43,-3.07,-5.18,ns2_tram
1.19,-2.42,-8.23,ns2_tram
-3.73,2.97,84.66,ns2_tram
-2.10,2.26,81.30,ns2_tram
4.02,0.61,80.44,ns2_tram
-6.06,2.34,71.56,ns2_tram
9.28,-2.42,-9.68,ns2_tram
-0.32,0.61,74.16,ns2_tram
-5.05,2.34,69.46,ns2_tram
-30.59,-0.71,75.33,ns2_tram
-33.52,0.41,65.23,ns2_tram
-13.90,-1.41,67.28,ns2_tram
2.41,-2.40,-7.77,ns2_tram
-30.87,-3.33,77.27,ns2_tram
-32.44,-2.22,68.43,ns2_tram
38.40,0.53,27.42,ns2_tram
-24.56,-1.46,74.14,ns2_tram
-26.19,-1.46,76.14,ns2_tram
-33.12,-1.85,69.45,ns2_tram
