x,y,z,team
-16.62,0.50,106.86,marines
14.53,-2.38,66.05,marines
-27.14,-2.15,-10.34,marines
20.54,0.30,-3.41,marines
-15.07,-1.93,1.08,marines
19.01,0.15,-10.50,marines
6.73,-1.03,-8.58,marines
21.19,0.74,-8.55,marines
23.21,0.33,-11.64,marines
6.96,-2.42,9.49,marines
-30.64,-1.34,-4.46,marines
9.50,-0.62,103.95,marines
7.42,-0.52,93.56,marines
-42.54,-1.86,-4.60,marines
-23.54,-1.69,40.95,marines
4.78,0.56,88.92,marines
38.79,-2.59,62.63,marines
-0.72,0.83,89.88,marines
-5.70,1.83,81.71,marines
-10.52,-1.18,-16.70,marines
-79.71,0.98,9.69,marines
19.21,0.53,7.01,aliens
-10.59,-2.83,35.57,aliens
0.01,1.97,74.00,aliens
-49.11,-1.07,88.27,aliens
-28.69,-0.83,19.06,aliens
25.88,2.19,99.18,aliens
-21.62,-0.09,99.96,aliens
-57.79,0.92,22.49,aliens
-63.56,1.31,94.41,aliens
-45.97,5.38,74.23,aliens
-60.50,1.33,92.30,aliens
-28.80,-2.59,79.34,aliens
10.35,4.61,80.01,aliens
-4.78,2.70,80.82,aliens
5.19,-0.47,98.54,aliens
-32.17,-2.17,35.24,aliens
-26.28,-1.11,19.54,aliens
-29.04,-1.92,-15.64,aliens
-63.80,1.45,94.41,aliens
-27.52,-1.94,-9.94,aliens
-77.40,-0.38,60.05,aliens
-30.86,-0.38,0.76,aliens
-20.40,-2.29,-4.94,aliens
-9.34,-0.64,-12.10,aliens
-15.29,-0.58,-23.56,aliens
8.11,-2.44,-12.04,marines
-6.63,2.78,80.13,marines
-22.17,-1.51,87.80,marines
-32.88,1.33,82.02,marines
-19.47,-1.51,54.12,marines
-22.49,-1.51,62.06,marines
25.22,0.21,-6.48,marines
-21.47,-1.92,-14.05,marines
-0.03,1.14,85.64,marines
-35.02,-1.12,-0.90,marines
-19.69,-1.51,60.98,marines
-45.61,-2.42,-3.88,marines
34.15,-3.18,67.35,marines
-2.45,1.83,67.17,marines
10.68,-3.97,54.52,marines
-8.18,-3.25,32.90,marines
-26.45,-3.44,33.61,marines
-27.53,-1.93,5.27,marines
24.81,1.60,-7.60,marines
-8.00,-2.84,23.51,marines
-23.78,-2.84,22.32,marines
-51.00,-0.64,21.14,marines
-66.44,0.93,93.04,aliens
-28.23,0.39,84.14,aliens
-70.64,0.42,-2.44,aliens
-67.92,0.63,91.68,aliens
43.52,-3.51,73.60,aliens
43.32,1.14,4.19,aliens
27.88,-2.74,68.57,aliens
-65.06,1.28,82.41,aliens
-64.54,0.97,78.04,aliens
-63.63,1.39,93.06,aliens
7.95,3.29,91.53,aliens
20.15,2.44,101.74,aliens
4.30,0.56,101.68,aliens
-49.69,0.53,80.02,aliens
4.65,-0.25,101.58,aliens
25.59,2.88,121.52,aliens
34.97,4.23,121.79,aliens
41.79,3.46,118.06,aliens
28.47,-2.42,50.91,aliens
-27.56,-1.92,18.78,aliens
-20.23,0.42,103.47,aliens
17.39,0.21,4.62,aliens
15.46,-2.22,34.52,aliens
27.68,-3.44,69.26,aliens
-68.48,0.84,94.84,aliens
0.45,-0.64,-8.13,aliens
5.11,0.90,93.42,aliens
1.96,2.47,106.04,aliens
10.69,0.47,111.01,aliens
25.55,3.90,88.77,aliens
33.89,3.00,104.11,aliens
8.42,1.42,89.99,aliens
28.02,2.19,81.81,aliens
44.89,-2.80,74.94,aliens
29.19,2.81,105.36,aliens
28.40,4.88,126.01,aliens
19.15,2.74,121.45,aliens
-4.39,2.92,63.71,aliens
12.16,2.97,85.76,aliens
34.92,3.67,122.16,aliens
23.67,1.88,116.67,aliens
-0.03,4.80,57.18,aliens
47.21,-0.02,37.02,aliens
0.52,-4.13,28.03,aliens
3.35,4.28,58.46,aliens
13.54,-1.91,36.82,aliens
35.34,0.37,33.60,aliens
-20.33,-1.48,48.32,aliens
-88.59,0.31,53.23,aliens
-58.64,-2.69,67.00,aliens
-89.69,-0.44,42.74,aliens
-78.04,-1.93,76.96,aliens
-75.26,-1.47,55.35,aliens
-86.85,-0.54,42.08,aliens
-57.26,-2.18,55.92,aliens
-16.05,-1.48,54.86,aliens
-20.17,1.07,103.94,aliens
-21.98,-0.13,64.06,aliens
-1.77,1.41,81.63,aliens
-41.51,-0.07,95.78,aliens
-9.26,0.71,65.95,aliens
-19.39,-0.08,103.84,aliens
-43.41,0.44,85.22,aliens
-66.31,0.25,79.78,aliens
-12.41,3.00,86.05,aliens
-43.21,1.50,97.98,aliens
1.00,0.64,71.42,aliens
-25.82,-2.60,21.44,aliens
-0.65,-2.52,15.51,aliens
-29.71,-1.15,10.81,aliens
-20.16,-0.82,51.00,aliens
-26.08,-0.30,-8.16,aliens
-7.81,-2.39,32.77,aliens
-24.38,-1.24,67.69,aliens
-3.52,2.50,88.53,aliens
1.68,-0.18,94.51,aliens
-44.36,0.36,96.57,aliens
-36.63,0.65,93.17,aliens
-32.06,1.02,97.68,aliens
-2.16,5.15,76.99,aliens
-87.79,-0.19,42.34,aliens
-60.16,1.54,94.89,aliens
12.05,-3.75,39.22,aliens
5.28,-2.42,-10.26,marines
-64.95,-0.39,-2.22,marines
-37.50,5.22,66.02,aliens
