coordinates,map,team
"104.66 32.36 91.83",ns2_unearthed,aliens
"199.07 23.80 28.64",ns2_unearthed,aliens
"133.36 34.33 84.47",ns2_unearthed,aliens
"168.88 30.08 66.43",ns2_unearthed,aliens
"167.09 30.52 60.24",ns2_unearthed,marines
"195.73 30.25 68.33",ns2_unearthed,aliens
"196.71 30.10 60.86",ns2_unearthed,aliens
"184.01 30.10 72.14",ns2_unearthed,aliens
"203.28 30.23 67.06",ns2_unearthed,aliens
"104.43 30.27 83.71",ns2_unearthed,marines
"210.89 33.73 62.28",ns2_unearthed,aliens
"210.20 32.78 61.19",ns2_unearthed,marines
"198.12 29.81 120.79",ns2_unearthed,aliens
"102.01 29.73 85.57",ns2_unearthed,marines
"198.03 29.63 146.79",ns2_unearthed,aliens
"189.50 31.43 52.04",ns2_unearthed,marines
"91.02 36.71 137.65",ns2_unearthed,marines
"202.49 28.16 152.63",ns2_unearthed,aliens
"194.67 28.18 143.18",ns2_unearthed,aliens
"200.96 28.15 123.02",ns2_unearthed,marines
"197.41 29.10 151.55",ns2_unearthed,aliens
"93.33 38.17 142.66",ns2_unearthed,aliens
"92.49 34.04 98.76",ns2_unearthed,aliens
"116.26 34.93 103.34",ns2_unearthed,aliens
"92.32 34.39 130.83",ns2_unearthed,marines
"89.31 36.64 137.80",ns2_unearthed,marines
"176.56 31.11 36.33",ns2_unearthed,aliens
"110.48 36.59 142.34",ns2_unearthed,aliens
"103.06 37.46 147.61",ns2_unearthed,marines
"205.13 32.05 60.47",ns2_unearthed,marines
"186.19 29.75 30.89",ns2_unearthed,marines
"111.17 36.14 137.27",ns2_unearthed,aliens
"89.66 36.64 135.46",ns2_unearthed,marines
"130.77 36.83 119.46",ns2_unearthed,aliens
"108.99 34.62 128.16",ns2_unearthed,marines
"94.61 35.66 96.93",ns2_unearthed,aliens
"93.78 36.46 107.31",ns2_unearthed,aliens
"136.05 31.00 132.65",ns2_unearthed,marines
"132.05 31.86 138.90",ns2_unearthed,aliens
"132.69 32.63 146.74",ns2_unearthed,aliens
"171.77 30.47 33.69",ns2_unearthed,marines
"98.54 36.31 121.12",ns2_unearthed,aliens
"165.16 30.54 28.87",ns2_unearthed,aliens
"129.23 31.12 82.37",ns2_unearthed,aliens
"123.25 31.71 91.19",ns2_unearthed,aliens
"128.41 31.49 91.34",ns2_unearthed,aliens
"193.21 31.17 20.24",ns2_unearthed,aliens
"189.95 31.80 20.16",ns2_unearthed,marines
"197.56 30.09 30.29",ns2_unearthed,marines
"178.16 30.46 25.57",ns2_unearthed,marines
"164.81 30.40 156.66",ns2_unearthed,aliens
"178.42 30.32 161.02",ns2_unearthed,aliens
"174.27 30.35 164.76",ns2_unearthed,marines
"160.23 29.75 14.13",ns2_unearthed,marines
"167.76 30.30 166.54",ns2_unearthed,aliens
"179.96 29.27 165.14",ns2_unearthed,aliens
"180.09 29.40 165.45",ns2_unearthed,marines
"166.19 30.31 161.81",ns2_unearthed,marines
"164.36 31.35 1.50",ns2_unearthed,aliens
"145.21 30.74 30.80",ns2_unearthed,aliens
"101.00 39.01 152.34",ns2_unearthed,aliens
"106.13 37.82 151.50",ns2_unearthed,aliens
"98.42 37.73 134.65",ns2_unearthed,marines
"97.82 37.60 150.70",ns2_unearthed,marines
"161.09 30.35 27.42",ns2_unearthed,aliens
"172.39 31.20 35.48",ns2_unearthed,aliens
"182.72 30.51 23.92",ns2_unearthed,marines
"179.96 29.90 32.28",ns2_unearthed,marines
"185.89 29.72 30.70",ns2_unearthed,aliens
"194.48 30.07 31.42",ns2_unearthed,marines
"189.16 32.33 31.18",ns2_unearthed,aliens
"187.39 30.10 28.97",ns2_unearthed,marines
"174.30 30.21 27.58",ns2_unearthed,marines
"161.75 29.68 19.35",ns2_unearthed,aliens
"160.82 29.67 30.54",ns2_unearthed,marines
"116.69 34.39 133.24",ns2_unearthed,aliens
"99.78 37.37 141.27",ns2_unearthed,marines
"97.98 37.37 140.01",ns2_unearthed,marines
"146.01 30.55 9.92",ns2_unearthed,marines
"145.74 31.93 4.10",ns2_unearthed,aliens
"144.18 31.27 15.25",ns2_unearthed,aliens
"146.32 30.50 21.54",ns2_unearthed,marines
"145.95 31.91 30.78",ns2_unearthed,marines
"95.03 35.74 104.42",ns2_unearthed,aliens
"148.04 32.91 27.48",ns2_unearthed,aliens
"126.38 30.47 84.18",ns2_unearthed,aliens
"114.18 29.68 22.74",ns2_unearthed,marines
"144.18 30.42 36.42",ns2_unearthed,marines
"89.69 35.21 129.34",ns2_unearthed,marines
"130.52 30.35 47.93",ns2_unearthed,marines
"100.81 34.27 125.49",ns2_unearthed,aliens
"161.79 29.46 82.36",ns2_unearthed,aliens
"158.90 29.21 80.91",ns2_unearthed,marines
"153.95 31.42 152.38",ns2_unearthed,aliens
"159.84 29.26 83.86",ns2_unearthed,marines
"154.01 32.08 79.30",ns2_unearthed,aliens
"152.11 30.49 84.67",ns2_unearthed,marines
"150.53 30.93 84.30",ns2_unearthed,aliens
"170.12 30.13 61.85",ns2_unearthed,aliens
"166.37 30.08 60.50",ns2_unearthed,marines
"147.26 29.07 40.71",ns2_unearthed,marines
"149.14 30.45 80.17",ns2_unearthed,aliens
"161.91 36.22 61.55",ns2_unearthed,aliens
"101.48 37.60 151.71",ns2_unearthed,marines
"102.35 38.42 145.69",ns2_unearthed,aliens
"100.90 37.74 141.91",ns2_unearthed,marines
"173.13 30.04 65.66",ns2_unearthed,marines
"98.44 38.75 152.37",ns2_unearthed,marines
"168.11 30.08 59.91",ns2_unearthed,marines
"167.06 30.08 63.53",ns2_unearthed,marines
"160.15 29.14 83.21",ns2_unearthed,marines
"114.95 30.94 94.29",ns2_unearthed,aliens
"160.15 29.14 83.21",ns2_unearthed,marines
"160.38 30.26 83.47",ns2_unearthed,marines
"159.91 29.21 85.89",ns2_unearthed,marines
"100.55 39.17 152.36",ns2_unearthed,aliens
"99.71 39.49 142.66",ns2_unearthed,aliens
"139.60 30.41 51.18",ns2_unearthed,marines
"161.65 30.18 83.16",ns2_unearthed,aliens
"109.97 36.64 143.52",ns2_unearthed,marines
"138.13 29.06 52.29",ns2_unearthed,aliens
"131.80 28.50 59.76",ns2_unearthed,marines
"139.65 29.07 46.38",ns2_unearthed,marines
"87.75 31.04 51.73",ns2_unearthed,aliens
"88.08 29.11 70.04",ns2_unearthed,aliens
"88.11 29.82 69.22",ns2_unearthed,aliens
"142.69 31.60 78.93",ns2_unearthed,marines
"158.11 30.91 77.86",ns2_unearthed,aliens
"127.31 30.43 71.42",ns2_unearthed,marines
"129.77 32.69 75.93",ns2_unearthed,aliens
