x,y,z,map
60.28,-2.35,-95.85,ns2_veil_cured
55.64,-1.01,-99.62,ns2_veil_cured
56.57,-1.45,-100.50,ns2_veil_cured
56.57,-1.44,-100.50,ns2_veil_cured
3.71,1.14,-41.59,ns2_veil_cured
4.42,0.99,-41.46,ns2_veil_cured
-1.79,-2.30,-130.49,ns2_veil_cured
4.80,-2.30,-129.68,ns2_veil_cured
5.52,-1.41,-132.08,ns2_veil_cured
8.53,-2.30,-129.42,ns2_veil_cured
9.03,-2.30,-129.95,ns2_veil_cured
-65.20,-2.06,-148.61,ns2_veil_cured
-59.69,-2.30,-151.21,ns2_veil_cured
-15.84,-2.30,-69.31,ns2_veil_cured
-44.37,-3.24,-54.11,ns2_veil_cured
-52.53,-1.73,-173.82,ns2_veil_cured
-24.48,6.32,-138.55,ns2_veil_cured
-1.40,-1.74,-97.10,ns2_veil_cured
1.04,-2.10,-89.72,ns2_veil_cured
4.54,-0.51,-87.42,ns2_veil_cured
8.55,-2.21,-88.67,ns2_veil_cured
6.16,-0.98,-88.60,ns2_veil_cured
5.76,-1.72,-91.13,ns2_veil_cured
11.84,-0.47,-93.64,ns2_veil_cured
-54.94,-2.24,-152.36,ns2_veil_cured
-16.91,-0.30,-77.71,ns2_veil_cured
1.28,-0.69,-96.73,ns2_veil_cured
1.76,-2.30,-95.04,ns2_veil_cured
5.49,-1.05,-96.46,ns2_veil_cured
-4.26,-2.32,-75.82,ns2_veil_cured
9.34,-2.30,-90.92,ns2_veil_cured
11.93,-1.49,-94.91,ns2_veil_cured
8.52,-2.30,-94.20,ns2_veil_cured
8.74,-1.00,-94.20,ns2_veil_cured
11.99,-1.92,-101.62,ns2_veil_cured
-9.95,-1.17,-59.90,ns2_veil_cured
-51.85,-2.40,-104.98,ns2_veil_cured
-14.29,-2.30,-117.54,ns2_veil_cured
-51.04,-2.04,-110.01,ns2_veil_cured
10.35,-1.57,-137.97,ns2_veil_cured
-16.77,-2.17,-78.64,ns2_veil_cured
-17.96,-2.30,-102.60,ns2_veil_cured
5.00,-0.66,-92.12,ns2_veil_cured
-9.91,-1.90,-55.32,ns2_veil_cured
-45.60,-0.96,-137.27,ns2_veil_cured
-30.72,-1.51,-84.37,ns2_veil_cured
-59.07,-2.30,-149.47,ns2_veil_cured
-61.37,-3.21,-161.14,ns2_veil_cured
-15.47,-2.30,-72.64,ns2_veil_cured
2.89,-1.42,-86.87,ns2_veil_cured
33.58,0.50,-156.28,ns2_veil_cured
34.39,-2.03,-151.83,ns2_veil_cured
61.57,-2.31,-97.05,ns2_veil_cured
-83.32,-4.14,-88.65,ns2_veil_cured
55.40,-1.16,-100.65,ns2_veil_cured
62.75,-2.35,-91.52,ns2_veil_cured
60.98,-2.35,-99.02,ns2_veil_cured
53.84,-1.37,-104.74,ns2_veil_cured
51.87,-0.64,-83.59,ns2_veil_cured
54.99,-0.06,-100.16,ns2_veil_cured
37.19,0.04,-135.90,ns2_veil_cured
11.50,0.86,-27.45,ns2_veil_cured
48.38,0.59,-92.45,ns2_veil_cured
2.54,-3.37,-159.92,ns2_veil_cured
-23.24,-2.30,-116.81,ns2_veil_cured
-16.90,-2.30,-88.69,ns2_veil_cured
-16.45,-0.97,-84.36,ns2_veil_cured
-16.36,-0.99,-83.99,ns2_veil_cured
-15.73,-2.30,-82.63,ns2_veil_cured
-13.31,-2.30,-74.01,ns2_veil_cured
-59.65,-2.65,-162.57,ns2_veil_cured
-43.84,-7.33,-16.39,ns2_veil_cured
-18.24,-0.92,-40.42,ns2_veil_cured
-6.45,-1.90,-166.26,ns2_veil_cured
-16.38,-2.32,-50.32,ns2_veil_cured
-10.60,-1.00,-41.37,ns2_veil_cured
10.55,-0.70,-43.11,ns2_veil_cured
6.63,0.92,-41.02,ns2_veil_cured
-39.09,-6.62,-5.29,ns2_veil_cured
-11.45,-0.49,-50.80,ns2_veil_cured
-3.30,0.12,-43.41,ns2_veil_cured
-15.90,-2.16,-105.56,ns2_veil_cured
-5.37,-1.28,-44.46,ns2_veil_cured
39.00,-2.16,-32.74,ns2_veil_cured
-4.93,-1.93,-101.96,ns2_veil_cured
-3.64,-1.62,-104.06,ns2_veil_cured
-4.25,-2.33,-103.56,ns2_veil_cured
6.35,1.31,-93.01,ns2_veil_cured
9.53,-0.92,-90.93,ns2_veil_cured
11.11,-2.30,-90.37,ns2_veil_cured
-19.87,-2.30,-117.44,ns2_veil_cured
-23.99,-0.94,-130.58,ns2_veil_cured
16.43,-2.31,-44.02,ns2_veil_cured
-6.93,-2.44,-32.52,ns2_veil_cured
-50.44,-3.10,-119.24,ns2_veil_cured
-24.79,-1.70,-77.54,ns2_veil_cured
-23.90,-2.30,-72.33,ns2_veil_cured
-31.85,-2.30,-70.38,ns2_veil_cured
-38.94,-1.35,-125.05,ns2_veil_cured
-40.48,-3.24,-66.53,ns2_veil_cured
-15.30,-0.66,-86.40,ns2_veil_cured
-51.40,-2.30,-110.77,ns2_veil_cured
-16.50,-2.30,-84.82,ns2_veil_cured
-7.57,-0.86,-100.33,ns2_veil_cured
-7.00,-2.30,-104.05,ns2_veil_cured
-8.38,-0.76,-102.86,ns2_veil_cured
40.45,-0.93,-161.19,ns2_veil_cured
-69.26,-4.11,-88.67,ns2_veil_cured
-74.31,-3.66,-87.94,ns2_veil_cured
54.70,0.31,-99.40,ns2_veil_cured
-64.15,-4.15,-89.33,ns2_veil_cured
-63.72,-4.15,-102.80,ns2_veil_cured
-90.52,-4.16,-74.16,ns2_veil_cured
-4.85,-2.08,-86.33,ns2_veil_cured
-53.18,-0.53,-115.82,ns2_veil_cured
4.08,-2.30,-85.26,ns2_veil_cured
-82.61,-4.15,-76.72,ns2_veil_cured
2.19,-2.28,-83.50,ns2_veil_cured
-76.53,-2.79,-77.15,ns2_veil_cured
1.26,-2.10,-82.78,ns2_veil_cured
-3.35,-2.30,-85.63,ns2_veil_cured
-1.78,-2.30,-87.97,ns2_veil_cured
-70.10,-3.17,-67.57,ns2_veil_cured
-90.52,-4.15,-74.16,ns2_veil_cured
-93.41,-3.64,-89.15,ns2_veil_cured
-100.46,-3.24,-69.30,ns2_veil_cured
-79.05,-2.69,-81.27,ns2_veil_cured
-80.17,-4.15,-57.61,ns2_veil_cured
-101.52,-4.25,-68.44,ns2_veil_cured
-96.12,-4.15,-65.57,ns2_veil_cured
-95.32,-0.46,-67.72,ns2_veil_cured
-66.82,-4.15,-68.82,ns2_veil_cured
-95.94,-2.94,-83.79,ns2_veil_cured
-97.87,-4.22,-83.15,ns2_veil_cured
-93.74,-2.81,-86.41,ns2_veil_cured
-98.17,-3.53,-85.99,ns2_veil_cured
-66.02,-2.67,-97.87,ns2_veil_cured
-64.92,-4.15,-104.54,ns2_veil_cured
42.23,-2.31,-157.09,ns2_veil_cured
-25.68,-1.04,-27.04,ns2_veil_cured
-50.81,-1.37,-110.66,ns2_veil_cured
-76.17,-3.90,-87.66,ns2_veil_cured
-74.34,-3.43,-88.11,ns2_veil_cured
