account_id,skill_tier
69320486,T0
57126658,T0
111758537,T0
198355607,T0
119014929,T0
19504109,T0
19443324,T0
34451599,T0
127206984,T0
108138004,T0
110113308,T0
390861156,T2
123313373,T0
106685264,T0
924997061,T0
90964987,T0
22722462,T0
95076806,T0
374284026,T0
36160075,T0
79424930,T0
127406149,T0
2228192,T0
53646894,T0
26207445,T1
91548261,T6
32193874,T0
249059879,T0
132339612,T0
406634394,T0
76508266,T0
318244558,T0
248307263,T0
368335460,T0
25140027,T0
83769852,T0
137672136,T0
106845256,T0
294561848,T0
88222963,T0
115779294,T0
298748331,T0
893166756,T0
156608590,T0
111616437,T0
366373853,T0
161437500,T0
311946812,T0
94928779,T0
116471643,T0
80919434,T0
194915278,T0
110884680,T0
921155386,T0
89045261,T0
99161338,T0
139913984,T0
144836084,T0
238820082,T0
3821578,T4
16671929,T0
52818489,T0
854775705,T0
3771607,T0
28395,T0
25278835,T0
154537742,T0
189955649,T0
81787890,T0
137342507,T0
51249185,T0
84077010,T0
940559,T0
75135044,T0
186406220,T0
486183990,T0
89281222,T0
56939724,T0
98966657,T0
121502995,T0
353525992,T0
351714439,T0
43149910,T0
85469177,T0
310803857,T0
107957037,T0
80686448,T0
63314678,T0
228407162,T0
118837402,T0
212867417,T0
113191474,T0
73745264,T0
105691276,T0
183147029,T0
117175228,T0
155484214,T1
88432682,T0
65504843,T0
62263741,T1
43073493,T0
921150409,T0
221439517,T0
109491757,T0
66397580,T0
160516102,T0
138546248,T0
72800586,T0
240202333,T0
94281736,T1
24338678,T0
145150680,T0
98882437,T0
408620977,T0
68779415,T0
27985916,T1
223554450,T0
110222374,T2
80524764,T0
64336712,T0
66038193,T2
39267950,T0
122934394,T0
208461965,T0
358874587,T0
75436843,T0
403003215,T0
65017304,T0
52768313,T0
138754256,T0
112414614,T0
156901638,T0
3382896,T0
55762398,T0
50012310,T0
51010068,T0
162350483,T0
337570863,T0
121336148,T0
53242782,T0
447687510,T0
34518204,T0
84669514,T0
140829351,T0
122296063,T0
43690061,T0
150189,T0
105254201,T0
242115721,T0
13183214,T0
392435108,T0
89683431,T0
103664802,T0
146816905,T0
419378383,T0
347106836,T0
82070757,T0
200830650,T1
916383980,T0
186326246,T0
109539441,T0
71293663,T0
354408370,T0
406153035,T0
35312056,T0
64837562,T0
153641288,T0
90231547,T2
223037733,T0
116802301,T0
159286311,T0
14305962,T0
130541905,T0
43467278,T0
136621127,T0
1021929,T0
170252978,T0
8648787,T0
34919848,T0
9988199,T0
214472391,T0
27485044,T1
184284944,T0
302884382,T0
58250941,T0
79335966,T0
290474656,T2
362612420,T0
3181349,T1
376608625,T0
125527511,T0
6071838,T0
132016095,T0
98449777,T0
85489596,T1
456878826,T0
2378359,T0
47831565,T0
246634359,T0
10082476,T0
175364030,T0
1807596,T0
109984637,T1
298713817,T0
54823206,T3
76433828,T0
168338990,T0
44092042,T0
127962747,T0
10371997,T0
12133469,T0
80191324,T0
184108826,T2
155164306,T0
52649807,T0
75627800,T0
4820032,T0
842036254,T0
44624437,T0
104522260,T0
933503212,T0
316637796,T0
294443513,T0
96927932,T0
1268685,T1
121938502,T0
67243553,T0
415840140,T0
25572371,T0
203632103,T0
446933484,T0
18744518,T0
96735853,T6
136490873,T0
277102134,T0
50982529,T1
365005171,T0
41011145,T0
62330772,T4
159976732,T0
321951430,T0
288313454,T0
5417259,T2
68448313,T0
94789329,T0
12078894,T0
105145260,T0
39773746,T0
153772774,T0
39375121,T0
97310685,T0
90482140,T0
180542602,T0
207918027,T0
1155582,T0
1299372,T0
